metric_group,key,tp,fp,fn,precision,recall,f1,value,admissible_secondary
ablation,A,150,0,180,1.0,0.454545455,0.625,,0
ablation,B,210,0,120,1.0,0.636363636,0.777777778,,0
ablation,C,270,0,60,1.0,0.818181818,0.9,,0
ablation,D,330,0,0,1.0,1.0,1.0,,0
incremental_recall,A_to_B,,,,,,,0.181818182,
incremental_recall,B_to_C,,,,,,,0.181818182,
incremental_recall,C_to_D,,,,,,,0.181818182,
paired_incremental_recall,A_to_B,,,,,,,,
paired_incremental_recall,B_to_C,,,,,,,,
paired_incremental_recall,C_to_D,,,,,,,,
rule,GEO-01,60,0,0,1.0,1.0,1.0,,
rule,IDS-01,60,0,0,1.0,1.0,1.0,,
rule,IDS-02,30,0,0,1.0,1.0,1.0,,
rule,IDS-03,30,0,0,1.0,1.0,1.0,,
rule,IDS-04,30,0,0,1.0,1.0,1.0,,
rule,IDS-05,0,0,0,0.0,0.0,0.0,,
rule,IDS-06,0,0,0,0.0,0.0,0.0,,
rule,IFC-01,0,0,0,0.0,0.0,0.0,,
rule,IFC-02,30,0,0,1.0,1.0,1.0,,
rule,IFC-03,30,0,0,1.0,1.0,1.0,,
rule,REV-01,0,0,0,0.0,0.0,0.0,,
rule,REV-02,30,0,0,1.0,1.0,1.0,,
rule,REV-03,30,0,0,1.0,1.0,1.0,,
family,Geometry,60,0,0,1.0,1.0,1.0,,
family,IFC Identity,30,0,0,1.0,1.0,1.0,,
family,Information,150,0,0,1.0,1.0,1.0,,
family,Integrity,30,0,0,1.0,1.0,1.0,,
family,Revision,60,0,0,1.0,1.0,1.0,,
control,clean_false_positives,,,,,,,0,
control,authorized_false_positives,,,,,,,0,
control,corrected_new_issues,,,,,,,0,
control,corrected_issue_closure_rate,,,,,,,1.0,
control,deterministic_candidate_runs,,,,,,,120,
control,candidate_runs,,,,,,,120,
control,engine_errors,,,,,,,0,
control,low_level_diagnostic_alerts,,,,,,,30,
traceability,all_issues.issue_count,,,,,,,360,
traceability,all_issues.source_hash_coverage_count,,,,,,,360,
traceability,all_issues.source_hash_coverage,,,,,,,1.0,
traceability,all_issues.rule_id_coverage_count,,,,,,,360,
traceability,all_issues.rule_id_coverage,,,,,,,1.0,
traceability,all_issues.entity_reference_coverage_count,,,,,,,330,
traceability,all_issues.entity_reference_coverage,,,,,,,0.916666667,
traceability,primary_issues.issue_count,,,,,,,330,
traceability,primary_issues.source_hash_coverage_count,,,,,,,330,
traceability,primary_issues.source_hash_coverage,,,,,,,1.0,
traceability,primary_issues.rule_id_coverage_count,,,,,,,330,
traceability,primary_issues.rule_id_coverage,,,,,,,1.0,
traceability,primary_issues.entity_reference_coverage_count,,,,,,,330,
traceability,primary_issues.entity_reference_coverage,,,,,,,1.0,
